City,Latitude,Longitude,Bedrooms,Bathrooms,Property Type,Square Footage,Actual Price,Predicted Price,Residual,Absolute Error
Maple Ridge,49.2069457,-122.5507553,3.0,3.0,Townhome,1906.0,4190000.0,994590.73,3195409.27,3195409.27
Coquitlam,49.2525917,-122.8896262,1.0,1.0,Single Family,600.0,4670050.0,1605410.883333333,3064639.116666667,3064639.116666667
Langley,49.0604531,-122.6573311,2.0,2.0,Single Family,1400.0,4950000.0,1937868.83,3012131.17,3012131.17
Maple Ridge,49.2253434,-122.6482268,3.0,2.0,Single Family,3038.0,4850000.0,2088203.96,2761796.04,2761796.04
West Vancouver,49.3649355,-123.2850234,2.0,2.0,Single Family,2366.0,4888000.0,2144722.0,2743278.0,2743278.0
Victoria,48.422221,-123.384548,2.0,4.0,Condo,4155.0,5000000.0,2323255.98,2676744.02,2676744.02
Lake Country,50.016273,-119.4414416,4.0,5.0,Single Family,4332.0,4789000.0,2172821.96,2616178.04,2616178.04
Surrey,49.1694348,-122.8042139,5.0,2.0,Single Family,2600.0,4875000.0,2331814.49,2543185.51,2543185.51
Surrey,49.1831154,-122.8397723,10.0,6.0,MultiFamily,4300.0,4600000.0,2170612.49,2429387.51,2429387.51
Kelowna,49.8364917,-119.464163,1.0,1.0,Single Family,1162.0,3500000.0,1078107.88,2421892.12,2421892.12
Coquitlam,49.2723817,-122.8047261,2.0,1.0,Single Family,1088.0,4850000.0,2438009.18,2411990.82,2411990.82
Coquitlam,49.2367305,-122.8824164,2.0,1.0,Single Family,866.0,4475000.0,2114172.88,2360827.12,2360827.12
Vancouver,49.2114035,-123.0965026,3.0,2.0,Single Family,1547.0,4100000.0,1783937.81,2316062.19,2316062.19
Surrey,49.1924967,-122.8203883,4.0,2.0,Single Family,2380.0,4990000.0,2740127.0,2249873.0,2249873.0
Richmond,49.137704,-123.074865,2.0,1.0,Single Family,790.0,3980000.0,1737287.79,2242712.21,2242712.21
Coquitlam,49.2899158,-122.7276844,4.0,3.0,Townhome,2463.0,3499000.0,1308230.97,2190769.0300000003,2190769.0300000003
Vancouver,49.2418246,-123.1538597,4.0,3.0,Single Family,1906.0,5000000.0,2810832.76,2189167.24,2189167.24
Kelowna,49.869442,-119.4255676,3.0,2.0,Single Family,3301.0,3998000.0,1809672.76,2188327.24,2188327.24
Chilliwack,49.2079328,-121.9089394,6.0,5.0,Single Family,4398.0,4150000.0,1961870.3,2188129.7,2188129.7
Surrey,49.038163,-122.77332,3.0,3.0,Single Family,3726.0,4900000.0,2722306.74,2177693.26,2177693.26
Delta,49.0869106,-123.1023031,2.0,3.0,Single Family,2191.0,3888800.0,1731967.465,2156832.535,2156832.535
Surrey,49.1693183,-122.8047708,4.0,3.0,Single Family,2448.0,4000000.0,1863619.0,2136381.0,2136381.0
Surrey,49.1693794,-122.8061792,3.0,2.0,Single Family,1578.0,4000000.0,1875856.12,2124143.88,2124143.88
Langley,49.0780296,-122.623476,4.0,3.0,Single Family,2935.0,4850000.0,2740275.0,2109725.0,2109725.0
Coquitlam,49.2751795,-122.8234904,3.0,3.0,Single Family,1944.0,4900000.0,2813637.0,2086363.0,2086363.0
Surrey,49.04592,-122.845979,4.0,3.0,Single Family,3515.0,5000000.0,2961746.77,2038253.23,2038253.23
New Westminster,49.19325,-122.930537,2.0,1.0,Single Family,1600.0,799000.0,2798895.77,-1999895.77,1999895.77
Surrey,49.1894549,-122.8327694,4.0,2.0,MultiFamily,1494.0,2800000.0,846120.66,1953879.3399999999,1953879.3399999999
White Rock,49.026588,-122.836565,4.0,3.0,Single Family,2268.0,3998000.0,2049148.95,1948851.05,1948851.05
Richmond,49.167757,-123.131897,5.0,2.0,Single Family,1862.0,4380000.0,2447789.8,1932210.2000000002,1932210.2000000002
Burnaby,49.226376,-122.9385734,4.0,2.0,Single Family,1720.0,4250000.0,2324231.92,1925768.08,1925768.08
Burnaby,49.262295,-122.970023,3.0,1.0,Single Family,1132.0,3982500.0,2062282.03,1920217.97,1920217.97
Surrey,49.1923987,-122.8561642,8.0,4.0,MultiFamily,3676.0,4200000.0,2298759.31,1901240.69,1901240.69
Vancouver,49.2837052,-123.1190324,3.0,4.0,Condo,2113.0,5000000.0,3121478.0,1878522.0,1878522.0
Central Saanich,48.6051645,-123.3950297,4.0,5.0,Single Family,4036.0,4500000.0,2628359.4,1871640.6,1871640.6
Boston Bar / Lytton,49.861268,-121.4409,3.0,2.0,Single Family,4082.0,119000.0,1979120.0,-1860120.0,1860120.0
Surrey,49.1525152,-122.7574667,4.0,3.0,Single Family,3640.0,3969999.0,2118283.99,1851715.0099999998,1851715.0099999998
Vancouver,49.2625845,-123.0648771,3.0,2.0,Single Family,1610.0,3500000.0,1678036.8,1821963.2,1821963.2
Langley,49.0315384,-122.6788218,3.0,2.0,Single Family,1248.0,3850000.0,2031304.83,1818695.17,1818695.17
Surrey,49.203157,-122.8650294,2.0,2.0,Single Family,1733.0,3450000.0,1693322.85,1756677.15,1756677.15
Vancouver,49.2837052,-123.1190324,2.0,3.0,Condo,2203.0,4880000.0,3126214.0,1753786.0,1753786.0
Burnaby,49.2263533,-122.9390158,6.0,4.0,Single Family,2131.0,4250000.0,2499191.95,1750808.0499999998,1750808.0499999998
Surrey,49.049469,-122.7377239,9.0,8.0,Single Family,5129.0,4280000.0,2542765.77,1737234.23,1737234.23
West Vancouver,49.3756114,-123.2762169,3.0,3.0,Condo,2191.0,3998000.0,2294390.0,1703610.0,1703610.0
